Ticker,Company
3IN,3i Infrastructure
AAF,Airtel Africa
AAL,Anglo American plc
AAS,Aberdeen Asia Focus
ABDN,Aberdeen Group
ABF,Associated British Foods
ADM,Admiral Group
AEP,AEP Plantations
AEWU,AEW UK REIT
AGT,AVI Global Trust
AIE,Ashoka India Equity Investment Trust
AJB,AJ Bell
ALFA,Alfa Financial Software
ALW,Alliance Witan
AML,Aston Martin Lagonda
ANTO,Antofagasta plc
AO,AO World
APN,Applied Nutrition
APTD,Aptitude Software Group
ASHM,Ashmore Group
ASL,Aberforth Smaller Companies Trust
ATR,Schroder Asian Total Return Investment Company
ATS,Artemis Alpha Trust
ATT,Allianz Technology Trust
ATYM,Atalaya Mining
AUTO,Autotrader Group
AV,Aviva
AVON,Avon Technologies
AZN,AstraZeneca
BA,BAE Systems
BAB,Babcock International
BAG,A.G. Barr
BARC,Barclays
BATS,British American Tobacco
BBOX,Tritax Big Box REIT
BBY,Balfour Beatty
BCG,Baltic Classifieds
BEZ,Beazley
BGEO,Lion Finance Group
BGEU,Baillie Gifford European Growth Trust
BGFD,Baillie Gifford Japan Trust
BGS,Baillie Gifford Shin Nippon
BHMG,BH Macro
BKG,Berkeley Group Holdings
BLND,British Land
BME,B&M
BMY,Bloomsbury Publishing
BNKR,Bankers Investment Trust
BNZL,Bunzl
BOOT,Henry Boot
BOWL,Hollywood Bowl Group
BOY,Bodycote
BP,BP
BPCR,Biopharma Credit
BPT,Bridgepoint Group
BRBY,Burberry Group
BREE,Breedon Group
BRGE,BlackRock Greater Europe Investment Trust
BRSC,BlackRock Smaller Companies Trust
BRWM,BlackRock World Mining Trust
BSIF,Bluefield Solar Income Fund
BT.A,BT Group
BTRW,Barratt Redrow
BUT,Brunner Investment Trust
BWY,Bellway
BYG,Big Yellow Group
BYIT,Bytes Technology Group
CABP,CAB Payments
CAPD,Capital Limited
CARD,Card Factory
CBG,Close Brothers Group
CCC,Computacenter
CCEP,Coca-Cola Europacific Partners
CCH,Coca-Cola HBC
CGT,Capital Gearing Trust
CHG,Chemring Group
CKN,Clarkson
CLDN,Caledonia Investments
CLI,CLS Holdings
CLIG,City of London Investment Group
CMCX,CMC Markets
CNA,Centrica
CNE,Capricorn Energy
COA,Coats Group
CORD,Cordiant Digital Infrastructure
COST,Costain Group
CPG,Compass Group
CPI,Capita
CRDA,Croda International
CREI,Custodian Reit
CSN,Chesnara
CTEC,Convatec
CTPE,CT Private Equity Trust
CTY,City of London Investment Trust
CURY,Currys
CVSG,CVS Group
CWK,Cranswick
CWR,Ceres Power
CYN,CQS Natural Resources
DATA,GlobalData
DCC,DCC Energy
DFS,DFS Furniture
DGE,Diageo
DGI9,Digital 9 Infrastructure
DLN,Derwent London
DNLM,Dunelm Group
DOCS,Dr. Martens
DOM,Domino's Pizza
DPLM,Diploma
DRX,Drax Group
DSCV,discoverIE
EDIN,Edinburgh Investment Trust
EDV,Endeavour Mining
ELM,Elementis
EMG,Man Group
ENOG,Energean
ENQ,EnQuest
ENT,Entain
ESCT,European Smaller Companies Trust
EVOK,Evoke
EWG,Eurowag
EWI,Edinburgh Worldwide Investment Trust
EXPN,Experian
EZJ,EasyJet
FAN,Volution Group
FAS,Fidelity Asian Values
FCH,Funding Circle
FCIT,F & C Investment Trust
FCSS,Fidelity China Special Situations
FEML,Fidelity Emerging Markets
FEV,Fidelity European Trust
FGEN,Foresight Environmental Infrastructure
FGP,FirstGroup
FGT,Finsbury Growth & Income Trust
FORT,Forterra
FOUR,4imprint
FOXT,Foxtons
FRAS,Frasers Group
FRES,Fresnillo plc
FSG,Foresight Group
FSJ,James Fisher & Sons
FSTA,"Fuller, Smith & Turner"
FSV,Fidelity Special Values
GAMA,Gamma Communications
GAW,Games Workshop
GBG,GB Group
GCP,GCP Infrastructure Investments
GDWN,Goodwin
GEN,Genuit Group
GFRD,Galliford Try
GFTU,Grafton Group
GLE,M J Gleeson
GLEN,Glencore
GMS,Gulf Marine Services
GNC,Greencore
GNS,Genus
GPE,Great Portland Estates
GRG,Greggs
GRI,Grainger
GROW,Molten Ventures
GSCT,Global Smaller Companies Trust
GSK,GSK plc
GYM,The Gym Group
HANA,Hansa Investment Company
HAS,Hays
HBR,Harbour Energy
HEAD,Headlam Group
HFD,Halfords
HFEL,Henderson Far East Income
HFG,Hilton Food Group
HGT,Hg Capital Trust
HICL,HICL Infrastructure Company
HIK,Hikma Pharmaceuticals
HILS,Hill & Smith
HLCL,Helical
HLMA,Halma plc
HLN,Haleon
HMSO,Hammerson
HOC,Hochschild Mining
HRI,Herald Investment Trust
HSBA,HSBC
HSL,Henderson Smaller Companies Investment Trust
HSW,Hostelworld Group
HSX,Hiscox
HTG,Hunting
HTWS,Helios Towers
HVPE,HarbourVest Global Private Equity
HWDN,Howdens Joinery
HWG,Harworth Group
IAD,Invesco Asia Dragon Trust
IAG,International Airlines Group
ICG,ICG
ICGT,ICG Enterprise Trust
IGG,IG Group
IHG,IHG Hotels & Resorts
IHP,IntegraFin Holdings
III,3i
IMB,Imperial Brands
IMI,IMI
INCH,Inchcape
INF,Informa
INOV,Schroders Capital Global Innovation Trust
INPP,International Public Partnerships
INVP,Investec
IPF,International Personal Finance
IPO,IP Group
ITH,Ithaca Energy
ITRK,Intertek
ITV,ITV
IWG,International Workplace Group
JAM,JPMorgan American Investment Trust
JCH,JPMorgan Claverhouse Investment Trust
JD,JD Sports
JDW,Wetherspoons
JEDT,JPMorgan European Discovery
JEGI,JPMorgan European Growth & Income
JEMI,JPMorgan Emerging Markets Dividend Income
JFJ,JPMorgan Japanese Investment Trust
JGGI,JPMorgan Global Growth & Income
JMAT,Johnson Matthey
JMGI,JPMorgan Emerging Markets Growth & Income
JSG,Johnson Service Group
JTC,JTC
JUP,Jupiter Fund Management
JZCP,JZ Capital Partners
KGF,Kingfisher plc
KIE,Kier Group
KLR,Keller Group
KMR,Kenmare Resources
KNOS,Kainos
LAND,Land Securities
LGEN,Legal & General
LIO,Liontrust Asset Management
